Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",82.692000,-74.456499,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",87.264000,-74.528000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",88.280000,-74.528000,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",87.772000,-63.311500,90.000000,top
"C5","0.01uF","C_0402_1005Metric",82.258000,-63.716000,90.000000,top
"C6","0.01uF","C_0402_1005Metric",88.788000,-63.311500,90.000000,top
"C7","10uF 10V X5R","C_0805_2012Metric",80.226000,-62.954000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",79.672000,-72.846999,180.000000,top
"C9","0.1uF","C_0402_1005Metric",84.700000,-63.716000,90.000000,top
"C10","10uF 10V X5R","C_0805_2012Metric",83.020000,-60.414000,90.000000,top
"C11","10uF 10V X5R","C_0805_2012Metric",67.800000,-92.100000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",71.145000,-101.970000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",101.200000,-98.100000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",86.020000,-63.716000,90.000000,top
"C15","1uF","C_0402_1005Metric",62.947660,-92.770000,0.000000,top
"C16","0.1uF","C_0402_1005Metric",88.300000,-55.320000,-90.000000,top
"C17","10uF 10V X5R","C_0805_2012Metric",86.400000,-54.600000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",88.300000,-58.080000,90.000000,top
"C19","10uF 10V X5R","C_0805_2012Metric",86.400000,-58.400000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",74.000000,-79.500000,90.000000,top
"C21","10uF 10V X5R","C_0805_2012Metric",75.600000,-78.700000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",64.400000,-79.100000,90.000000,top
"C23","0.1uF","C_0402_1005Metric",63.300000,-79.120000,90.000000,top
"C24","10uF 10V X5R","C_0805_2012Metric",63.050000,-81.500000,180.000000,top
"C25","10uF 10V X5R","C_0805_2012Metric",96.800000,-98.600000,0.000000,top
"C26","0.1uF","C_0402_1005Metric",96.360000,-100.460000,0.000000,top
"C27","1uF","C_0402_1005Metric",101.180000,-94.870000,0.000000,top
"C28","10uF 10V X5R","C_0805_2012Metric",66.300000,-95.900000,90.000000,top
"C29","10uF 10V X5R","C_0805_2012Metric",106.800000,-92.300000,0.000000,top
"D1","1N5819HW-7-F","D_SOD-123",61.600000,-96.410000,180.000000,top
"D2","CDSOT23-SM712","SOT-23",54.460000,-81.770000,90.000000,top
"D3","CDSOT23-SM712","SOT-23",52.690000,-97.012500,-90.000000,top
"D4","1N5819HW-7-F","D_SOD-123",107.480000,-94.810000,0.000000,top
"D5","CDSOT23-SM712","SOT-23",108.050000,-86.362500,90.000000,top
"D6","CDSOT23-SM712","SOT-23",112.840000,-82.120000,0.000000,top
"D7","YEL LED","LED_0603_1608Metric",93.100000,-112.412500,90.000000,top
"D8","RED LED","LED_0603_1608Metric",60.900000,-112.412500,90.000000,top
"D9","BLU LED","LED_0603_1608Metric",77.000000,-112.412500,90.000000,top
"D10","GRN LED","LED_0603_1608Metric",109.200000,-112.412500,90.000000,top
"FID1","Tooling TL","Fiducial_JLCPCB",59.510000,-55.130000,0.000000,top
"FID2","Tooling TR","Fiducial_JLCPCB",58.750000,-117.640000,0.000000,top
"FID3","Tooling TR","Fiducial_JLCPCB",110.420000,-55.110000,0.000000,top
"J1","HC-HDMI0019T-1","HC-HDMI0019T-1",56.000000,-69.230000,-90.000000,top
"J2","HC-HDMI0019T-1","HC-HDMI0019T-1",114.040000,-69.250000,90.000000,top
"J3","HC-TYPE-C-16P-CH3.18-3A-02","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",54.175000,-89.250000,-90.000000,top
"J4","HC-TYPE-C-16P-CH3.18-3A-02","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",115.825000,-89.250000,90.000000,top
"Q1","BC847BDW1T1G","SOT-363_SC-70-6",70.880000,-88.530000,0.000000,top
"R1","6.98k 1%","R_0402_1005Metric",86.248000,-74.530000,90.000000,top
"R2","10k 1%","R_0402_1005Metric",70.920000,-90.580000,0.000000,top
"R3","10k 1%","R_0402_1005Metric",62.917660,-91.670000,180.000000,top
"R4","10k 1%","R_0402_1005Metric",73.480000,-87.990000,-90.000000,top
"R5","470 1%","R_0402_1005Metric",73.440000,-95.580000,0.000000,top
"R6","22.1k 1%","R_0402_1005Metric",60.927660,-91.670000,0.000000,top
"R7","4.75k 1%","R_0402_1005Metric",60.917660,-92.770000,0.000000,top
"R8","10k 1%","R_0402_1005Metric",64.917660,-91.670000,180.000000,top
"R9","0","R_0402_1005Metric",101.200000,-97.000000,0.000000,top
"R10","10k 1%","R_0402_1005Metric",101.200000,-95.940000,0.000000,top
"R11","5.1k 1%","R_0402_1005Metric",57.190000,-95.960000,90.000000,top
"R12","5.1k 1%","R_0402_1005Metric",57.410000,-83.200000,180.000000,top
"R13","5.1k 1%","R_0402_1005Metric",115.790000,-82.690000,-90.000000,top
"R14","5.1k 1%","R_0402_1005Metric",115.050000,-95.670000,90.000000,top
"R15","310","R_0402_1005Metric",93.100000,-115.310000,-90.000000,top
"R16","310","R_0402_1005Metric",60.900000,-115.310000,-90.000000,top
"R17","310","R_0402_1005Metric",77.000000,-115.310000,-90.000000,top
"R18","310","R_0402_1005Metric",109.200000,-115.310000,-90.000000,top
"R19","80.6 1%","R_0402_1005Metric",86.290000,-76.680000,90.000000,top
"SW1","B3FS-4055P","SW_SPST_Omron_B3FS-4000",61.000000,-104.250000,0.000000,top
"SW2","B3FS-4055P","SW_SPST_Omron_B3FS-4000",109.000000,-104.250000,0.000000,top
"U1","TMDS171IRGZT","RGZ0048B_NV",84.999999,-68.959999,0.000000,top
"U2","ESP32-C6-WROOM-1","ESP32-C6-WROOM-1",84.800000,-92.410000,180.000000,top
"U3","CP2102N-A02-GQFN28R","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",64.400000,-87.550000,0.000000,top
"U4","AMS1117-1.2","SOT-223",93.950000,-57.100000,0.000000,top
"U5","AMS1117-3.3","SOT-223",68.700000,-77.950000,90.000000,top
